Sentence,Emotion
The student got annoyed today.,Anger
I expressed affection today.,Love
The student received bad news today.,Sadness
The employee was stunned today.,Surprise
My brother finished the task today.,Neutral
Our team lost patience today.,Anger
My brother argued about the issue today.,Anger
The teacher felt left out today.,Sadness
The teacher cared deeply for someone today.,Love
My sister got promoted today.,Joy
Our team appreciated the support today.,Love
My sister checked the schedule today.,Neutral
The teacher felt frustrated today.,Anger
My brother was disappointed today.,Sadness
My sister had a wonderful day today.,Joy
The employee updated the document today.,Neutral
Our team felt left out today.,Sadness
Our team earned an award today.,Joy
The employee lost something important today.,Sadness
Our team was disappointed today.,Sadness
Our team was scared of the result today.,Fear
Our team won a competition today.,Joy
The employee felt heartbroken today.,Sadness
My friend completed the assignment today.,Neutral
My sister found an unexpected opportunity today.,Surprise
Our team was afraid of failing today.,Fear
My brother felt left out today.,Sadness
My sister completed a project today.,Joy
The student completed a project today.,Joy
My friend felt grateful for loved ones today.,Love
My brother felt grateful for loved ones today.,Love
The student found an unexpected opportunity today.,Surprise
Our team felt left out today.,Sadness
The employee lost patience today.,Anger
The teacher was upset by the decision today.,Anger
The student expressed affection today.,Love
Our team worried about the future today.,Fear
Our team lost patience today.,Anger
I attended the meeting today.,Neutral
My brother feared the outcome today.,Fear
I was treated unfairly today.,Anger
My friend was amazed by the result today.,Surprise
Our team was afraid of failing today.,Fear
The student felt left out today.,Sadness
Our team worried about the future today.,Fear
I argued about the issue today.,Anger
My friend hated the situation today.,Anger
My friend updated the document today.,Neutral
My friend felt grateful for loved ones today.,Love
Our team found an unexpected opportunity today.,Surprise
The employee submitted the report today.,Neutral
My brother earned an award today.,Joy
My brother was disappointed today.,Sadness
My brother was amazed by the result today.,Surprise
The student received good news today.,Joy
The employee received an unexpected gift today.,Surprise
My brother felt grateful for loved ones today.,Love
The student felt uncertain today.,Fear
The employee missed a loved one today.,Sadness
My sister had a wonderful day today.,Joy
I experienced a surprise today.,Surprise
The teacher felt loved today.,Love
My friend had a wonderful day today.,Joy
The employee saw something unbelievable today.,Surprise
I worried about the interview today.,Fear
The teacher was amazed by the result today.,Surprise
My sister felt nervous about the exam today.,Fear
My sister had a wonderful day today.,Joy
The employee became very angry today.,Anger
My brother found an unexpected opportunity today.,Surprise
Our team reviewed the information today.,Neutral
My sister got promoted today.,Joy
The employee reviewed the information today.,Neutral
The student got annoyed today.,Anger
I hated the situation today.,Anger
The teacher felt loved today.,Love
The teacher attended the meeting today.,Neutral
Our team feared the outcome today.,Fear
Our team received bad news today.,Sadness
My friend completed the assignment today.,Neutral
Our team was upset by the decision today.,Anger
I got promoted today.,Joy
Our team received good news today.,Joy
My friend argued about the issue today.,Anger
The student felt grateful for loved ones today.,Love
My brother went to college today.,Neutral
My sister received an unexpected gift today.,Surprise
My brother completed a project today.,Joy
My brother attended the meeting today.,Neutral
My friend had a wonderful day today.,Joy
My brother was treated unfairly today.,Anger
I became very angry today.,Anger
My friend expressed affection today.,Love
My friend heard shocking news today.,Surprise
The employee became very angry today.,Anger
The employee lost patience today.,Anger
The teacher experienced a surprise today.,Surprise
The teacher lost something important today.,Sadness
My friend updated the document today.,Neutral
I was afraid of failing today.,Fear
My brother felt left out today.,Sadness
Our team attended the meeting today.,Neutral
I reviewed the information today.,Neutral
My sister hated the situation today.,Anger
The student found an unexpected opportunity today.,Surprise
The student felt lonely today.,Sadness
My friend was afraid of failing today.,Fear
I finished the task today.,Neutral
My brother updated the document today.,Neutral
My brother experienced a surprise today.,Surprise
The teacher passed the exam today.,Joy
I felt loved today.,Love
The teacher felt uncertain today.,Fear
The employee felt frustrated today.,Anger
My friend found an unexpected opportunity today.,Surprise
I got promoted today.,Joy
Our team checked the schedule today.,Neutral
My friend went to college today.,Neutral
I completed a project today.,Joy
Our team submitted the report today.,Neutral
Our team finished the task today.,Neutral
I hated the situation today.,Anger
My brother lost patience today.,Anger
My brother felt left out today.,Sadness
Our team experienced a surprise today.,Surprise
My sister was amazed by the result today.,Surprise
My sister passed the exam today.,Joy
My sister was amazed by the result today.,Surprise
Our team checked the schedule today.,Neutral
Our team found an unexpected opportunity today.,Surprise
The employee updated the document today.,Neutral
My friend expressed affection today.,Love
The teacher went to college today.,Neutral
Our team had a difficult day today.,Sadness
The student expressed affection today.,Love
The student missed a loved one today.,Sadness
My brother got annoyed today.,Anger
My friend appreciated the support today.,Love
My brother missed a loved one today.,Sadness
My friend felt heartbroken today.,Sadness
The teacher felt loved today.,Love
I cared deeply for someone today.,Love
I won a competition today.,Joy
My sister was afraid of failing today.,Fear
My brother felt heartbroken today.,Sadness
My brother got annoyed today.,Anger
The employee missed a loved one today.,Sadness
Our team completed a project today.,Joy
The employee got annoyed today.,Anger
My sister reviewed the information today.,Neutral
My friend finished the task today.,Neutral
The student was disappointed today.,Sadness
Our team missed a loved one today.,Sadness
I feared the outcome today.,Fear
The teacher got annoyed today.,Anger
The teacher reviewed the information today.,Neutral
I got promoted today.,Joy
Our team enjoyed time with family today.,Love
The teacher was disappointed today.,Sadness
The student went to college today.,Neutral
The teacher was afraid of failing today.,Fear
I updated the document today.,Neutral
The teacher felt loved today.,Love
I passed the exam today.,Joy
Our team earned an award today.,Joy
The student received good news today.,Joy
The student attended the meeting today.,Neutral
Our team lost patience today.,Anger
My sister hated the situation today.,Anger
My brother missed a loved one today.,Sadness
Our team had a wonderful day today.,Joy
My brother won a competition today.,Joy
Our team went to college today.,Neutral
The teacher saw something unbelievable today.,Surprise
I attended the meeting today.,Neutral
The employee expressed affection today.,Love
Our team reviewed the information today.,Neutral
The employee got annoyed today.,Anger
My sister saw something unbelievable today.,Surprise
My brother heard shocking news today.,Surprise
Our team was amazed by the result today.,Surprise
My friend felt anxious today.,Fear
My brother completed the assignment today.,Neutral
My friend submitted the report today.,Neutral
My brother missed a loved one today.,Sadness
My brother felt grateful for loved ones today.,Love
The teacher enjoyed time with family today.,Love
The student could not believe the outcome today.,Surprise
My sister got promoted today.,Joy
The teacher felt lonely today.,Sadness
The teacher felt uncertain today.,Fear
The employee got promoted today.,Joy
The teacher saw something unbelievable today.,Surprise
I submitted the report today.,Neutral
The student feared the outcome today.,Fear
I was afraid of failing today.,Fear
I felt grateful for loved ones today.,Love
The student went to college today.,Neutral
My friend submitted the report today.,Neutral
My friend felt frustrated today.,Anger
The student felt heartbroken today.,Sadness
My friend lost patience today.,Anger
My sister got annoyed today.,Anger
My friend feared the outcome today.,Fear
The employee hated the situation today.,Anger
The student passed the exam today.,Joy
I could not believe the outcome today.,Surprise
My brother reviewed the information today.,Neutral
My sister was disappointed today.,Sadness
My brother was stunned today.,Surprise
My sister argued about the issue today.,Anger
The student felt lonely today.,Sadness
The employee lost something important today.,Sadness
The employee experienced a surprise today.,Surprise
I cared deeply for someone today.,Love
My friend found an unexpected opportunity today.,Surprise
The teacher felt grateful for loved ones today.,Love
The teacher felt grateful for loved ones today.,Love
The student was afraid of failing today.,Fear
I argued about the issue today.,Anger
I worried about the interview today.,Fear
Our team was disappointed today.,Sadness
My friend was afraid of failing today.,Fear
The student felt anxious today.,Fear
My sister felt grateful for loved ones today.,Love
The employee completed a project today.,Joy
I hated the situation today.,Anger
I valued a friendship today.,Love
My friend won a competition today.,Joy
The student saw something unbelievable today.,Surprise
The student was amazed by the result today.,Surprise
The employee received an unexpected gift today.,Surprise
The student hated the situation today.,Anger
The employee was scared of the result today.,Fear
My friend felt left out today.,Sadness
The employee lost something important today.,Sadness
The student felt heartbroken today.,Sadness
The employee worried about the interview today.,Fear
The employee experienced a surprise today.,Surprise
I was scared of the result today.,Fear
The teacher worried about the future today.,Fear
My friend heard shocking news today.,Surprise
Our team completed a project today.,Joy
My friend was disappointed today.,Sadness
I received an unexpected gift today.,Surprise
Our team attended the meeting today.,Neutral
The teacher felt left out today.,Sadness
The employee felt anxious today.,Fear
I won a competition today.,Joy
My sister received bad news today.,Sadness
I was upset by the decision today.,Anger
The student had a wonderful day today.,Joy
I received bad news today.,Sadness
Our team enjoyed time with family today.,Love
I attended the meeting today.,Neutral
My brother lost something important today.,Sadness
My brother lost something important today.,Sadness
Our team saw something unbelievable today.,Surprise
My brother felt loved today.,Love
The teacher received an unexpected gift today.,Surprise
The employee felt left out today.,Sadness
The teacher was amazed by the result today.,Surprise
I lost something important today.,Sadness
Our team completed the assignment today.,Neutral
My friend received good news today.,Joy
Our team was stunned today.,Surprise
The student won a competition today.,Joy
The employee felt heartbroken today.,Sadness
My sister finished the task today.,Neutral
I completed a project today.,Joy
The student submitted the report today.,Neutral
The student received good news today.,Joy
The teacher felt uncertain today.,Fear
My brother felt grateful for loved ones today.,Love
My friend lost patience today.,Anger
Our team updated the document today.,Neutral
My sister passed the exam today.,Joy
The employee appreciated the support today.,Love
The teacher checked the schedule today.,Neutral
My friend attended the meeting today.,Neutral
The student valued a friendship today.,Love
My friend became very angry today.,Anger
Our team felt loved today.,Love
My brother hated the situation today.,Anger
The employee appreciated the support today.,Love
The employee submitted the report today.,Neutral
My friend lost patience today.,Anger
The employee experienced a surprise today.,Surprise
My sister updated the document today.,Neutral
The teacher achieved a goal today.,Joy
The employee got annoyed today.,Anger
I was stunned today.,Surprise
My sister felt uncertain today.,Fear
The teacher missed a loved one today.,Sadness
My brother experienced a surprise today.,Surprise
My sister received bad news today.,Sadness
The employee argued about the issue today.,Anger
The student was disappointed today.,Sadness
I felt nervous about the exam today.,Fear
My brother cared deeply for someone today.,Love
The teacher lost something important today.,Sadness
My brother completed a project today.,Joy
Our team could not believe the outcome today.,Surprise
My friend won a competition today.,Joy
My sister lost something important today.,Sadness
My sister attended the meeting today.,Neutral
My sister felt nervous about the exam today.,Fear
My brother could not believe the outcome today.,Surprise
The employee was upset by the decision today.,Anger
The teacher won a competition today.,Joy
Our team was disappointed today.,Sadness
Our team appreciated the support today.,Love
My sister received an unexpected gift today.,Surprise
My sister was amazed by the result today.,Surprise
My sister found an unexpected opportunity today.,Surprise
The teacher felt heartbroken today.,Sadness
The employee was scared of the result today.,Fear
My friend reviewed the information today.,Neutral
My brother worried about the future today.,Fear
Our team attended the meeting today.,Neutral
My friend achieved a goal today.,Joy
The teacher was treated unfairly today.,Anger
The employee reviewed the information today.,Neutral
The employee lost something important today.,Sadness
My brother got promoted today.,Joy
My friend got promoted today.,Joy
My brother felt loved today.,Love
My brother felt heartbroken today.,Sadness
I received good news today.,Joy
My friend received good news today.,Joy
The employee updated the document today.,Neutral
The teacher argued about the issue today.,Anger
I passed the exam today.,Joy
The teacher worried about the interview today.,Fear
My sister cared deeply for someone today.,Love
My friend hated the situation today.,Anger
The teacher expressed affection today.,Love
The student felt grateful for loved ones today.,Love
Our team earned an award today.,Joy
The employee finished the task today.,Neutral
The employee missed a loved one today.,Sadness
Our team was amazed by the result today.,Surprise
My friend completed a project today.,Joy
The teacher got annoyed today.,Anger
Our team was amazed by the result today.,Surprise
My friend felt grateful for loved ones today.,Love
My friend lost patience today.,Anger
My sister received good news today.,Joy
I feared the outcome today.,Fear
I showed kindness today.,Love
My brother was afraid of failing today.,Fear
The teacher could not believe the outcome today.,Surprise
My brother felt frustrated today.,Anger
Our team felt nervous about the exam today.,Fear
I went to college today.,Neutral
My brother achieved a goal today.,Joy
The employee found an unexpected opportunity today.,Surprise
The employee finished the task today.,Neutral
The student appreciated the support today.,Love
My sister showed kindness today.,Love
My brother worried about the future today.,Fear
The teacher missed a loved one today.,Sadness
The employee showed kindness today.,Love
My friend valued a friendship today.,Love
The employee passed the exam today.,Joy
My brother argued about the issue today.,Anger
I worried about the future today.,Fear
My sister felt grateful for loved ones today.,Love
The employee experienced a surprise today.,Surprise
I won a competition today.,Joy
My sister lost something important today.,Sadness
I attended the meeting today.,Neutral
My sister was amazed by the result today.,Surprise
I lost patience today.,Anger
My friend updated the document today.,Neutral
My friend felt uncertain today.,Fear
I was treated unfairly today.,Anger
The student checked the schedule today.,Neutral
Our team missed a loved one today.,Sadness
The teacher was treated unfairly today.,Anger
I worried about the future today.,Fear
The student received bad news today.,Sadness
The employee completed a project today.,Joy
Our team felt loved today.,Love
The student felt heartbroken today.,Sadness
I felt lonely today.,Sadness
Our team argued about the issue today.,Anger
My brother expressed affection today.,Love
The teacher checked the schedule today.,Neutral
My sister had a difficult day today.,Sadness
Our team reviewed the information today.,Neutral
My brother felt heartbroken today.,Sadness
The teacher expressed affection today.,Love
My friend felt lonely today.,Sadness
My brother got annoyed today.,Anger
The employee felt anxious today.,Fear
My brother was upset by the decision today.,Anger
My brother felt uncertain today.,Fear
I earned an award today.,Joy
The teacher experienced a surprise today.,Surprise
The employee felt anxious today.,Fear
The employee received good news today.,Joy
My friend was treated unfairly today.,Anger
The student won a competition today.,Joy
The employee found an unexpected opportunity today.,Surprise
My friend became very angry today.,Anger
My friend had a wonderful day today.,Joy
My friend could not believe the outcome today.,Surprise
My sister worried about the interview today.,Fear
The student saw something unbelievable today.,Surprise
The teacher found an unexpected opportunity today.,Surprise
My friend felt left out today.,Sadness
The teacher passed the exam today.,Joy
Our team updated the document today.,Neutral
The employee updated the document today.,Neutral
My friend achieved a goal today.,Joy
I felt loved today.,Love
I went to college today.,Neutral
My brother argued about the issue today.,Anger
My sister received good news today.,Joy
My friend found an unexpected opportunity today.,Surprise
My friend achieved a goal today.,Joy
Our team worried about the interview today.,Fear
I was stunned today.,Surprise
My friend feared the outcome today.,Fear
The teacher argued about the issue today.,Anger
The employee got annoyed today.,Anger
My brother worried about the future today.,Fear
The employee felt nervous about the exam today.,Fear
The teacher felt uncertain today.,Fear
The teacher was treated unfairly today.,Anger
Our team finished the task today.,Neutral
The student achieved a goal today.,Joy
My brother lost something important today.,Sadness
The teacher enjoyed time with family today.,Love
The teacher lost patience today.,Anger
The student was amazed by the result today.,Surprise
My friend felt nervous about the exam today.,Fear
Our team was disappointed today.,Sadness
My sister found an unexpected opportunity today.,Surprise
I lost something important today.,Sadness
My brother updated the document today.,Neutral
The student was afraid of failing today.,Fear
My friend was disappointed today.,Sadness
The teacher feared the outcome today.,Fear
The teacher attended the meeting today.,Neutral
My friend was upset by the decision today.,Anger
Our team became very angry today.,Anger
Our team lost something important today.,Sadness
My friend had a wonderful day today.,Joy
The teacher lost patience today.,Anger
The student was amazed by the result today.,Surprise
The student showed kindness today.,Love
The student felt grateful for loved ones today.,Love
I was afraid of failing today.,Fear
I felt left out today.,Sadness
The student attended the meeting today.,Neutral
My brother appreciated the support today.,Love
My friend showed kindness today.,Love
The teacher completed a project today.,Joy
My brother cared deeply for someone today.,Love
Our team checked the schedule today.,Neutral
My friend was treated unfairly today.,Anger
My brother saw something unbelievable today.,Surprise
My brother felt nervous about the exam today.,Fear
My brother became very angry today.,Anger
The employee worried about the interview today.,Fear
My friend saw something unbelievable today.,Surprise
Our team felt nervous about the exam today.,Fear
My friend felt left out today.,Sadness
The student was upset by the decision today.,Anger
The teacher felt nervous about the exam today.,Fear
My brother argued about the issue today.,Anger
My sister lost patience today.,Anger
My brother updated the document today.,Neutral
My friend won a competition today.,Joy
My brother valued a friendship today.,Love
The teacher received good news today.,Joy
My brother felt frustrated today.,Anger
Our team appreciated the support today.,Love
I felt frustrated today.,Anger
The student saw something unbelievable today.,Surprise
My friend felt lonely today.,Sadness
My sister appreciated the support today.,Love
My sister was amazed by the result today.,Surprise
The employee enjoyed time with family today.,Love
My brother was disappointed today.,Sadness
The teacher reviewed the information today.,Neutral
Our team became very angry today.,Anger
Our team updated the document today.,Neutral
My sister saw something unbelievable today.,Surprise
The student felt uncertain today.,Fear
The teacher received an unexpected gift today.,Surprise
The teacher received good news today.,Joy
My sister saw something unbelievable today.,Surprise
Our team missed a loved one today.,Sadness
My brother feared the outcome today.,Fear
My friend worried about the future today.,Fear
Our team heard shocking news today.,Surprise
My sister was amazed by the result today.,Surprise
Our team missed a loved one today.,Sadness
The teacher got annoyed today.,Anger
Our team completed a project today.,Joy
The student felt grateful for loved ones today.,Love
My friend felt frustrated today.,Anger
The employee attended the meeting today.,Neutral
My sister was disappointed today.,Sadness
The teacher found an unexpected opportunity today.,Surprise
The employee showed kindness today.,Love
My brother checked the schedule today.,Neutral
The student argued about the issue today.,Anger
My friend saw something unbelievable today.,Surprise
The employee finished the task today.,Neutral
The employee feared the outcome today.,Fear
My friend felt lonely today.,Sadness
The teacher felt anxious today.,Fear
My brother worried about the interview today.,Fear
I appreciated the support today.,Love
My friend argued about the issue today.,Anger
Our team cared deeply for someone today.,Love
The student was scared of the result today.,Fear
My sister expressed affection today.,Love
The teacher was amazed by the result today.,Surprise
Our team saw something unbelievable today.,Surprise
The teacher won a competition today.,Joy
Our team achieved a goal today.,Joy
The student could not believe the outcome today.,Surprise
I felt nervous about the exam today.,Fear
I had a difficult day today.,Sadness
Our team expressed affection today.,Love
My sister hated the situation today.,Anger
The teacher was upset by the decision today.,Anger
Our team submitted the report today.,Neutral
My sister was amazed by the result today.,Surprise
Our team finished the task today.,Neutral
I found an unexpected opportunity today.,Surprise
The student had a difficult day today.,Sadness
My brother finished the task today.,Neutral
My friend received good news today.,Joy
Our team got promoted today.,Joy
My brother received bad news today.,Sadness
The employee checked the schedule today.,Neutral
My sister passed the exam today.,Joy
My friend was afraid of failing today.,Fear
My friend worried about the interview today.,Fear
The teacher expressed affection today.,Love
My brother saw something unbelievable today.,Surprise
The employee completed the assignment today.,Neutral
Our team felt loved today.,Love
The employee cared deeply for someone today.,Love
Our team valued a friendship today.,Love
I had a wonderful day today.,Joy
The teacher updated the document today.,Neutral
My friend heard shocking news today.,Surprise
I checked the schedule today.,Neutral
The student received bad news today.,Sadness
My brother reviewed the information today.,Neutral
The student had a wonderful day today.,Joy
I hated the situation today.,Anger
My friend won a competition today.,Joy
I attended the meeting today.,Neutral
The student found an unexpected opportunity today.,Surprise
My friend could not believe the outcome today.,Surprise
I worried about the future today.,Fear
My sister heard shocking news today.,Surprise
My friend got promoted today.,Joy
The teacher could not believe the outcome today.,Surprise
My sister got annoyed today.,Anger
The teacher cared deeply for someone today.,Love
Our team had a difficult day today.,Sadness
My friend felt anxious today.,Fear
My sister lost something important today.,Sadness
Our team updated the document today.,Neutral
My brother got annoyed today.,Anger
My sister cared deeply for someone today.,Love
The student felt frustrated today.,Anger
The employee showed kindness today.,Love
The student submitted the report today.,Neutral
My friend had a wonderful day today.,Joy
Our team showed kindness today.,Love
The employee missed a loved one today.,Sadness
Our team achieved a goal today.,Joy
The teacher passed the exam today.,Joy
The employee felt uncertain today.,Fear
Our team felt nervous about the exam today.,Fear
Our team reviewed the information today.,Neutral
The student experienced a surprise today.,Surprise
My sister updated the document today.,Neutral
My friend saw something unbelievable today.,Surprise
Our team attended the meeting today.,Neutral
My brother got annoyed today.,Anger
The teacher attended the meeting today.,Neutral
I submitted the report today.,Neutral
The student valued a friendship today.,Love
The student showed kindness today.,Love
The teacher submitted the report today.,Neutral
The student felt left out today.,Sadness
My sister lost something important today.,Sadness
My sister felt lonely today.,Sadness
My friend felt loved today.,Love
I was stunned today.,Surprise
Our team felt loved today.,Love
My sister received bad news today.,Sadness
Our team received bad news today.,Sadness
The student expressed affection today.,Love
My sister lost something important today.,Sadness
The employee achieved a goal today.,Joy
I felt left out today.,Sadness
My brother was afraid of failing today.,Fear
I achieved a goal today.,Joy
My brother received an unexpected gift today.,Surprise
My sister argued about the issue today.,Anger
The teacher received an unexpected gift today.,Surprise
The employee attended the meeting today.,Neutral
The student earned an award today.,Joy
The student completed a project today.,Joy
My friend could not believe the outcome today.,Surprise
My friend heard shocking news today.,Surprise
The student attended the meeting today.,Neutral
My friend checked the schedule today.,Neutral
My sister attended the meeting today.,Neutral
My brother reviewed the information today.,Neutral
Our team got promoted today.,Joy
My friend found an unexpected opportunity today.,Surprise
Our team had a difficult day today.,Sadness
My friend worried about the interview today.,Fear
Our team got promoted today.,Joy
My brother cared deeply for someone today.,Love
The employee was treated unfairly today.,Anger
The employee had a wonderful day today.,Joy
I argued about the issue today.,Anger
My brother felt loved today.,Love
The employee felt lonely today.,Sadness
The student found an unexpected opportunity today.,Surprise
The teacher expressed affection today.,Love
Our team appreciated the support today.,Love
My brother valued a friendship today.,Love
The student checked the schedule today.,Neutral
The employee completed a project today.,Joy
My sister felt heartbroken today.,Sadness
The teacher received an unexpected gift today.,Surprise
My brother was disappointed today.,Sadness
The teacher had a wonderful day today.,Joy
The teacher got annoyed today.,Anger
My brother got promoted today.,Joy
I lost something important today.,Sadness
The student won a competition today.,Joy
Our team received an unexpected gift today.,Surprise
Our team felt heartbroken today.,Sadness
